section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
26182,MB&B,105D,04,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
26184,MB&B,105D,05,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26186,MB&B,105D,06,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26188,MB&B,105D,07,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26190,MB&B,105D,08,Discussion Section,W 8.00-8.50p,W 8:00pm-8:50pm,,W 8:00pm-8:50pm,"{'Wednesday': ('20:00', '20:50', '')}"
26192,MB&B,105D,09,Discussion Section,Th 8.00-8.50p,Th 8:00pm-8:50pm,,Th 8:00pm-8:50pm,"{'Thursday': ('20:00', '20:50', '')}"
26177,MCDB,105D,01,Discussion Section,W 2.30-3.20,W 2:30pm-3:20pm,,W 2:30pm-3:20pm,"{'Wednesday': ('14:30', '15:20', '')}"
26179,MCDB,105D,02,Discussion Section,W 2.30-3.20,W 2:30pm-3:20pm,,W 2:30pm-3:20pm,"{'Wednesday': ('14:30', '15:20', '')}"
26181,MCDB,105D,03,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
26183,MCDB,105D,04,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
26185,MCDB,105D,05,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26187,MCDB,105D,06,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26189,MCDB,105D,07,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
26191,MCDB,105D,08,Discussion Section,W 8.00-8.50p,W 8:00pm-8:50pm,,W 8:00pm-8:50pm,"{'Wednesday': ('20:00', '20:50', '')}"
26193,MCDB,105D,09,Discussion Section,Th 8.00-8.50p,Th 8:00pm-8:50pm,,Th 8:00pm-8:50pm,"{'Thursday': ('20:00', '20:50', '')}"
25177,MCDB,109D,01,Discussion Section,W 9.25-10.15,W 9:25am-10:15am,,W 9:25am-10:15am,"{'Wednesday': ('9:25', '10:15', '')}"
25178,MCDB,109D,02,Discussion Section,W 4.30-5.20,W 4:30pm-5:20pm,,W 4:30pm-5:20pm,"{'Wednesday': ('16:30', '17:20', '')}"
25179,MCDB,109D,03,Discussion Section,W 5.00-5.50,W 5:00pm-5:50pm,,W 5:00pm-5:50pm,"{'Wednesday': ('17:00', '17:50', '')}"
25469,MCDB,201LD,01,Discussion Section,M 1.30-5.30,M 1:30pm-5:30pm,,M 1:30pm-5:30pm,"{'Monday': ('13:30', '17:30', '')}"
25470,MCDB,201LD,02,Discussion Section,W 1.30-5.30,W 1:30pm-5:30pm,,W 1:30pm-5:30pm,"{'Wednesday': ('13:30', '17:30', '')}"
25173,MCDB,205D,01,Discussion Section,W 10.30-11.20,W 10:30am-11:20am,,W 10:30am-11:20am,"{'Wednesday': ('10:30', '11:20', '')}"
25174,MCDB,205D,02,Discussion Section,W 7.00-7.50p,W 7:00pm-7:50pm,,W 7:00pm-7:50pm,"{'Wednesday': ('19:00', '19:50', '')}"
25175,MCDB,205D,03,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
25176,MCDB,205D,04,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
25530,MCDB,250D,01,Discussion Section,M 7.00-7.50p,M 7:00pm-7:50pm,,M 7:00pm-7:50pm,"{'Monday': ('19:00', '19:50', '')}"
25531,MCDB,250D,02,Discussion Section,T 7.00-7.50p,T 7:00pm-7:50pm,,T 7:00pm-7:50pm,"{'Tuesday': ('19:00', '19:50', '')}"
25532,MCDB,250D,03,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
25533,MCDB,250D,04,Discussion Section,,,,,{}
25526,MCDB,251LD,01,Lab Section,T 1.30-5.30,T 1:30pm-5:30pm,,T 1:30pm-5:30pm,"{'Tuesday': ('13:30', '17:30', '')}"
25527,MCDB,251LD,02,Lab Section,W 1.30-5.30,W 1:30pm-5:30pm,,W 1:30pm-5:30pm,"{'Wednesday': ('13:30', '17:30', '')}"
25528,MCDB,251LD,03,Lab Section,Th 1.30-5.30,Th 1:30pm-5:30pm,,Th 1:30pm-5:30pm,"{'Thursday': ('13:30', '17:30', '')}"
25529,MCDB,251LD,04,Lab Section,,,,,{}
25696,MCDB,291LD,01,Discussion Section,T 2.30-5.30,T 2:30pm-5:30pm,,T 2:30pm-5:30pm,"{'Tuesday': ('14:30', '17:30', '')}"
25697,MCDB,291LD,02,Discussion Section,W 2.30-5.30,W 2:30pm-5:30pm,,W 2:30pm-5:30pm,"{'Wednesday': ('14:30', '17:30', '')}"
25698,MCDB,291LD,03,Discussion Section,Th 2.30-5.30,Th 2:30pm-5:30pm,,Th 2:30pm-5:30pm,"{'Thursday': ('14:30', '17:30', '')}"
25471,MCDB,370D,01,Discussion Section,M 7.00-7.50p,M 7:00pm-7:50pm,,M 7:00pm-7:50pm,"{'Monday': ('19:00', '19:50', '')}"
25472,MCDB,370D,02,Discussion Section,T 7.00-7.50p,T 7:00pm-7:50pm,,T 7:00pm-7:50pm,"{'Tuesday': ('19:00', '19:50', '')}"
25473,MCDB,370D,03,Discussion Section,M 7.00-7.50p,M 7:00pm-7:50pm,,M 7:00pm-7:50pm,"{'Monday': ('19:00', '19:50', '')}"
26454,MCDB,370D,04,Discussion Section,T 7.00-7.50p,T 7:00pm-7:50pm,,T 7:00pm-7:50pm,"{'Tuesday': ('19:00', '19:50', '')}"
26571,MCDB,370D,05,Discussion Section,M 8.00-8.50p,M 8:00pm-8:50pm,,M 8:00pm-8:50pm,"{'Monday': ('20:00', '20:50', '')}"
